"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5580","successfully reset app state and logout the user","","Sun Nov 10 16:52:36 BDT 2024","passed","Sun Nov 10 16:52:42 BDT 2024","","Swag Labs product purchase journey One","",""
"","5038","should select first products and add to cart","","Sun Nov 10 16:53:03 BDT 2024","passed","Sun Nov 10 16:53:08 BDT 2024","","Swag Labs product purchase journey two","",""
"","10102","should login with valid credentials","","Sun Nov 10 16:52:42 BDT 2024","passed","Sun Nov 10 16:52:52 BDT 2024","","Swag Labs product purchase journey two","",""
"","5066","successfully verifies filter","","Sun Nov 10 16:52:58 BDT 2024","passed","Sun Nov 10 16:53:03 BDT 2024","","Swag Labs product purchase journey two","",""
"","5575","successfully reset app state and logout the user","","Sun Nov 10 16:53:28 BDT 2024","passed","Sun Nov 10 16:53:34 BDT 2024","","Swag Labs product purchase journey two","",""
"","5595","should reset the sidebar","","Sun Nov 10 16:52:52 BDT 2024","passed","Sun Nov 10 16:52:58 BDT 2024","","Swag Labs product purchase journey two","",""
"","50","successfully verifies product names and total price dynamically","","Sun Nov 10 16:53:18 BDT 2024","passed","Sun Nov 10 16:53:18 BDT 2024","","Swag Labs product purchase journey two","",""
"","5116","should proceed to checkout","","Sun Nov 10 16:53:13 BDT 2024","passed","Sun Nov 10 16:53:18 BDT 2024","","Swag Labs product purchase journey two","",""
"","5157","should proceed to checkout","","Sun Nov 10 16:52:26 BDT 2024","passed","Sun Nov 10 16:52:31 BDT 2024","","Swag Labs product purchase journey One","",""
"","10062","successfully finish purchase journey and verify the successful order message","","Sun Nov 10 16:53:18 BDT 2024","passed","Sun Nov 10 16:53:28 BDT 2024","","Swag Labs product purchase journey two","",""
"","5059","successfully finish purchase journey and verify the successful order message","","Sun Nov 10 16:52:31 BDT 2024","passed","Sun Nov 10 16:52:36 BDT 2024","","Swag Labs product purchase journey One","",""
"","60","successfully verifies product names and total price dynamically","","Sun Nov 10 16:52:31 BDT 2024","passed","Sun Nov 10 16:52:31 BDT 2024","","Swag Labs product purchase journey One","",""
"","5171","should login with valid credentials","","Sun Nov 10 16:52:05 BDT 2024","passed","Sun Nov 10 16:52:10 BDT 2024","","Swag Labs auth journey","",""
"","5591","should reset the sidebar","","Sun Nov 10 16:52:15 BDT 2024","passed","Sun Nov 10 16:52:21 BDT 2024","","Swag Labs product purchase journey One","",""
"","5148","should select three products and add them to cart","","Sun Nov 10 16:52:21 BDT 2024","passed","Sun Nov 10 16:52:26 BDT 2024","","Swag Labs product purchase journey One","",""
"","5097","should login with valid credentials","","Sun Nov 10 16:52:10 BDT 2024","passed","Sun Nov 10 16:52:15 BDT 2024","","Swag Labs product purchase journey One","",""
